eval_year,train_start,train_end,param_tune_start,param_tune_end,param_tune_n,param_tune_window,K_best,home_adv_best,carry_best,mov_scale,use_mov,use_home_adv,use_carry_grid,logloss
2010,2005,2009,2005,2009,5,5.0,54.0,40.0,0.65,2.300139440343435,True,True,True,0.6244846727875123
2011,2005,2010,2006,2010,5,5.0,44.0,40.0,0.65,2.2916857374152637,True,True,True,0.6332122724923981
2012,2005,2011,2007,2011,5,5.0,54.0,40.0,0.5,2.2920675618409305,True,True,True,0.6252428044350578
2013,2005,2012,2008,2012,5,5.0,54.0,40.0,0.5,2.2892063553617645,True,True,True,0.6265785947729402
2014,2005,2013,2009,2013,5,5.0,54.0,40.0,0.5,2.2807586450264385,True,True,True,0.6283365277370008
2015,2005,2014,2010,2014,5,5.0,54.0,40.0,0.5,2.286770135196832,True,True,True,0.6240679714740386
2016,2005,2015,2011,2015,5,5.0,54.0,40.0,0.5,2.2809211659977033,True,True,True,0.6238857016347021
2017,2005,2016,2012,2016,5,5.0,54.0,40.0,0.5,2.270997976781198,True,True,True,0.6242318075495582
2018,2005,2017,2013,2017,5,5.0,49.0,40.0,0.65,2.2725829187556816,True,True,True,0.6235074194760488
2019,2005,2018,2014,2018,5,5.0,49.0,40.0,0.5,2.2657960853031063,True,True,True,0.6310442837631467
2020,2005,2019,2015,2019,5,5.0,49.0,40.0,0.5,2.2660694609339966,True,True,True,0.6348343438420894
2021,2005,2020,2016,2020,5,5.0,49.0,40.0,0.65,2.263232064314676,True,True,True,0.6288383006147533
2022,2005,2021,2017,2021,5,5.0,44.0,28.0,0.7,2.2645394102938936,True,True,True,0.6345781690775476
2023,2005,2022,2018,2022,5,5.0,49.0,28.0,0.65,2.2117411412965566,True,True,True,0.6359115376783843
2024,2005,2023,2019,2023,5,5.0,44.0,31.0,0.65,2.2113884594003403,True,True,True,0.6399325817047777
2025,2005,2024,2020,2024,5,5.0,44.0,31.0,0.65,2.212730241263391,True,True,True,0.6351360409393823
2026,2005,2025,2021,2025,5,5.0,49.0,31.0,0.65,2.2097757890147944,True,True,True,0.6347828893264114
