as_of_date,week,game_id,gameday,gametime,away_team,home_team,away_rank,home_rank,away_elo,home_elo,p_away,p_home,outcome
2026-09-22,3,2026_03_ATL_GB,2026-09-24,20:15,ATL,GB,29,17,912.5410101004016,1000.8689804588593,0.33472147614659364,0.6652785238534064,TBD
2026-09-22,3,2026_03_CAR_CLE,2026-09-27,13:00,CAR,CLE,20,25,950.7776103449825,927.0380435125686,0.48955291744144047,0.5104470825585595,TBD
2026-09-22,3,2026_03_CIN_PIT,2026-09-27,13:00,CIN,PIT,11,16,1036.7989034207912,1003.8099886349879,0.5028622471949029,0.4971377528050971,TBD
2026-09-22,3,2026_03_HOU_IND,2026-09-27,13:00,HOU,IND,10,23,1039.817577286636,930.5271531532549,0.6107999253077061,0.38920007469229395,TBD
2026-09-22,3,2026_03_KC_MIA,2026-09-27,13:00,KC,MIA,15,30,1024.8006219388867,897.9950701736948,0.6344837847959242,0.3655162152040759,TBD
2026-09-22,3,2026_03_LAC_BUF,2026-09-27,13:00,LAC,BUF,22,2,935.3825322658165,1143.3612890513048,0.2017049455892833,0.7982950544107167,TBD
2026-09-22,3,2026_03_NE_JAX,2026-09-27,13:00,NE,JAX,3,9,1113.9318005994367,1065.402796261539,0.5252048826920674,0.4747951173079325,TBD
2026-09-22,3,2026_03_NYJ_DET,2026-09-27,13:00,NYJ,DET,31,14,886.9534427917062,1026.521720221544,0.2725209058151,0.7274790941849,TBD
2026-09-22,3,2026_03_SEA_WAS,2026-09-27,13:00,SEA,WAS,1,28,1204.46830802284,921.8508435621418,0.8097561614588482,0.1902438385411518,TBD
2026-09-22,3,2026_03_TEN_NYG,2026-09-27,13:00,TEN,NYG,32,21,818.5129383845732,936.2928679392879,0.29808238745562843,0.7019176125443716,TBD
2026-09-22,3,2026_03_ARI_SF,2026-09-27,16:05,ARI,SF,27,4,922.533663746384,1111.3536705246968,0.22004817129777876,0.7799518287022212,TBD
2026-09-22,3,2026_03_MIN_TB,2026-09-27,16:05,MIN,TB,5,24,1101.6505259355224,930.3994100017187,0.6915445867661782,0.3084554132338218,TBD
2026-09-22,3,2026_03_BAL_DAL,2026-09-27,16:25,BAL,DAL,13,19,1030.2577616771243,960.2213973260497,0.5559426391149318,0.44405736088506814,TBD
2026-09-22,3,2026_03_LV_NO,2026-09-27,16:25,LV,NO,26,18,925.9471423505905,975.5657680522888,0.3860188287841505,0.6139811712158495,TBD
2026-09-22,3,2026_03_LA_DEN,2026-09-27,20:20,LA,DEN,7,6,1083.1399646631057,1083.4782081364854,0.4550225521926008,0.5449774478073992,TBD
2026-09-22,3,2026_03_PHI_CHI,2026-09-28,20:15,PHI,CHI,8,12,1068.655811248412,1036.0445541542708,0.5023187687304418,0.49768123126955827,TBD
